stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
78525,ch. St-Louis / rue Gisèle,  45.301939, -73.880598,,78525,0
78526,ch. St-Louis / boul. Lussier,  45.305585, -73.879685,,78526,0
78527,ch. St-Louis / rue Boyer,  45.309520, -73.878652,,78527,0
78528,ch. St-Louis / rue St-Joseph,  45.310855, -73.878068,,78528,0
78529,ch. St-Louis / rue Ellice,  45.313315, -73.878616,,78529,0
78530,rue Principale / place Oscar-Murphy,  45.318090, -73.939932,,78530,0
78531,rue Francois-Branchaud / rue Faubert,  45.326658, -73.830169,,78531,0
78532,rue François-Branchaud / rue Laurier,  45.325445, -73.832928,,78532,0
78533,rue Francois-Branchaud / rue Macdonald,  45.324211, -73.835890,,78533,0
78534,rue Francois-Branchaud / de la pointe Dickner,  45.322391, -73.839687,,78534,0
78535,rue Francois-Branchaud / face au Dépanneur des Éra,  45.321803, -73.840662,,78535,0
78536,rue Francois-Branchaud / rue de l'Église,  45.320692, -73.842681,,78536,0
78537,rue Francois-Branchaud / rue Divina-Sauvé,  45.319722, -73.844480,,78537,0
78538,ch. St-Louis / rue Ellice,  45.313437, -73.878795,,78538,0
78539,ch. St-Louis / rue St-Joseph,  45.310919, -73.878244,,78539,0
78540,ch. St-Louis / rue Marie-Anne,  45.309625, -73.878713,,78540,0
