shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10203,45.413950,-74.064240,170003,5.463
10203,45.413871,-74.064426,170004,5.480
10203,45.413660,-74.064830,170005,5.520
10203,45.413660,-74.064830,180001,5.520
10203,45.413627,-74.064893,180002,5.526
10203,45.413415,-74.065313,180003,5.566
10203,45.413342,-74.065452,180004,5.580
10203,45.413270,-74.065554,180005,5.591
10203,45.413153,-74.065656,180006,5.606
10203,45.412892,-74.065837,180007,5.639
10203,45.412350,-74.066191,180008,5.705
10203,45.412350,-74.066191,190001,5.705
10203,45.412286,-74.066234,190002,5.713
10203,45.411627,-74.066661,190003,5.794
10203,45.411021,-74.067049,190004,5.867
10203,45.411021,-74.067049,200001,5.867
10203,45.410959,-74.067090,200002,5.875
10203,45.410652,-74.066186,200003,5.954
10203,45.410383,-74.065355,200004,6.025
10203,45.410383,-74.065355,210001,6.025
10203,45.410361,-74.065287,210002,6.031
10203,45.410027,-74.064502,210003,6.103
10203,45.410027,-74.064502,220001,6.103
10203,45.410011,-74.064466,220002,6.106
10203,45.409676,-74.063967,220003,6.160
10203,45.410054,-74.063285,220004,6.228
10203,45.410094,-74.063181,220005,6.237
10203,45.410108,-74.063045,220006,6.248
10203,45.410109,-74.062921,220007,6.258
10203,45.410049,-74.062797,220008,6.270
10203,45.409960,-74.062676,220009,6.283
10203,45.409432,-74.062117,220010,6.357
10203,45.409432,-74.062117,230001,6.357
10203,45.409177,-74.061848,230002,6.392
10203,45.408608,-74.061115,230003,6.477
10203,45.408470,-74.060916,230004,6.499
10203,45.408408,-74.060781,230005,6.512
10203,45.408402,-74.060612,230006,6.525
10203,45.408448,-74.060428,230007,6.540
10203,45.410473,-74.056331,230008,6.932
10203,45.410473,-74.056331,240001,6.932
10203,45.411218,-74.054826,240002,7.076
10203,45.411218,-74.054826,250001,7.076
10203,45.411253,-74.054754,250002,7.083
10203,45.408784,-74.052287,250003,7.419
10203,45.408784,-74.052287,260001,7.419
10203,45.408071,-74.051575,260002,7.516
10203,45.407828,-74.051327,260003,7.549
10203,45.406881,-74.050387,260004,7.678
10203,45.406777,-74.050279,260005,7.692
10203,45.406777,-74.050279,270001,7.692
10203,45.406733,-74.050235,270002,7.698
10203,45.406753,-74.050198,270003,7.701
10203,45.406813,-74.050024,270004,7.717
10203,45.406847,-74.049835,270005,7.732
10203,45.406964,-74.049001,270006,7.798
10203,45.407015,-74.048833,270007,7.813
10203,45.407015,-74.048833,280001,7.813
10203,45.407041,-74.048750,280002,7.820
10203,45.407228,-74.048303,280003,7.861
10203,45.408107,-74.046525,280004,8.031
10203,45.408107,-74.046525,290001,8.031
10203,45.408143,-74.046454,290002,8.038
10203,45.408153,-74.046429,290003,8.040
10203,45.409257,-74.044190,290004,8.254
10203,45.409257,-74.044190,300001,8.254
10203,45.409302,-74.044098,300002,8.263
