route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
40,PI-H19-PI_GTFS-Semaine-01,3550364-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,215
40,PI-H19-PI_GTFS-Semaine-01,3550365-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,515
40,PI-H19-PI_GTFS-Semaine-01,3550366-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,115
40,PI-H19-PI_GTFS-Semaine-01,3550367-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,415
40,PI-H19-PI_GTFS-Semaine-01,3550368-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,315
40,PI-H19-PI_GTFS-Semaine-01,3550369-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,217
40,PI-H19-PI_GTFS-Semaine-01,3550370-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,301
40,PI-H19-PI_GTFS-Semaine-01,3550371-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,517
40,PI-H19-PI_GTFS-Semaine-01,3550372-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,117
40,PI-H19-PI_GTFS-Semaine-01,3550373-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,417
40,PI-H19-PI_GTFS-Semaine-01,3550374-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,317
40,PI-H19-PI_GTFS-Semaine-01,3550375-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,219
40,PI-H19-PI_GTFS-Semaine-01,3550376-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,519
40,PI-H19-PI_GTFS-Semaine-01,3550377-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,119
40,PI-H19-PI_GTFS-Semaine-01,3550378-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,521
40,PI-H19-PI_GTFS-Semaine-01,3550379-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,121
40,PI-H19-PI_GTFS-Semaine-01,3550380-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,523
40,PI-H19-PI_GTFS-Semaine-01,3550381-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,401
40,PI-H19-PI_GTFS-Semaine-01,3550382-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,123
40,PI-H19-PI_GTFS-Semaine-01,3550383-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,525
40,PI-H19-PI_GTFS-Semaine-01,3550384-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,125
40,PI-H19-PI_GTFS-Semaine-01,3550385-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,501
40,PI-H19-PI_GTFS-Semaine-01,3550386-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,103
40,PI-H19-PI_GTFS-Semaine-01,3550387-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,203
40,PI-H19-PI_GTFS-Semaine-01,3550388-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,303
